iter	Passed	Remaining
0	17	848
1	26	626
2	40	640
3	49	574
4	65	586
5	81	599
6	106	652
7	131	690
8	140	638
9	172	691
10	186	662
11	214	679
12	233	663
13	243	625
14	252	589
15	275	584
16	292	568
17	321	572
18	332	542
19	348	522
20	361	498
21	368	468
22	383	450
23	392	424
24	400	400
25	411	379
26	418	356
27	425	334
28	433	313
29	445	297
30	461	283
31	472	266
32	480	247
33	498	234
34	509	218
35	517	201
36	537	188
37	544	172
38	553	156
39	569	142
40	578	126
41	588	112
42	605	98
43	615	83
44	631	70
45	643	55
46	650	41
47	670	27
48	678	13
49	689	0
